TITLE: Bill of Materials						
DATE: 05/08/2016						
DESIGN: top						
TEMPLATE: D:\HwProj\IAW_SMU3_XX\protoC2\board\generic\sch\bin\top\bom\templ_testing_v2.bom						
CALLOUT: 						
						
Ref Des	DBTPRO_NUMBER	DEVICE_LABEL	VALUE	PINCOUNT	P_PATH	JEDEC_TYPE
C165	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i3@standard_mm.capacitor(chips)	C0603T_RW
C17	NC.0092680.A	C_CX1C_..10UF..+-1uF_6,3V	10uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i464@standard_mm.capacitor(chips)	C0805T_RW
C18	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i403@standard_mm.capacitor(chips)	C0402T_RW
C19	NC.0022806.A	C_CC6C_.100PF..+-0.5pF_.50V	100pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i175@bin.communication(sch_1):page1_i151@standard_mm.capacitor(chips)	C0603T_RW
C2	NC.0110206.A	C_CC7C_...8PF+-0,5PF_.50V	8pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i127@standard_mm.capacitor(chips)	C0402T_RW
C20	NC.0022806.A	C_CC6C_.100PF..+-0.5pF_.50V	100pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i468@standard_mm.capacitor(chips)	C0603T_RW
C21	NC.0086273.A	C_T.SC_..33UF..+-3.3uF_6,3V	33uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i4@standard_mm.pcapacitor(chips)	C3216T_RW
C22	NC.0023371.A	C_CX6C_.470PF..+-47pF_100V	470pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i483@standard_mm.capacitor(chips)	C0603T_RW
C23	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i270@standard_mm.capacitor(chips)	C0603T_RW
C24	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i251@standard_mm.capacitor(chips)	C0603T_RW
C25	NC.0022806.A	C_CC6C_.100PF..+-0.5pF_.50V	100pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i175@bin.communication(sch_1):page1_i158@standard_mm.capacitor(chips)	C0603T_RW
C26	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i5@standard_mm.capacitor(chips)	C0402T_RW
C261	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i10@standard_mm.capacitor(chips)	C0402T_RW
C27	NC.0092680.A	C_CX1C_..10UF..+-1uF_6,3V	10uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i6@standard_mm.capacitor(chips)	C0805T_RW
C273	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i18@standard_mm.capacitor(chips)	C0603T_RW
C274	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i49@standard_mm.capacitor(chips)	C0402T_RW
C28	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i186@bin.prp_pump_driver(sch_1):page1_i159@standard_mm.capacitor(chips)	C0402T_RW
C29	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i186@bin.prp_pump_driver(sch_1):page1_i78@standard_mm.capacitor(chips)	C0402T_RW
C3	NC.0092680.A	C_CX1C_..10UF..+-1uF_6,3V	10uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i95@standard_mm.capacitor(chips)	C0805T_RW
C30	NC.0092680.A	C_CX1C_..10UF..+-1uF_6,3V	10uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i175@bin.communication(sch_1):page1_i143@standard_mm.capacitor(chips)	C0805T_RW
C31	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i32@standard_mm.capacitor(chips)	C0402T_RW
C32	NC.0023200.A	C_CX1C_...1uF..+-0.1uF_.25V	1uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i13@standard_mm.capacitor(chips)	C0805T_RW
C34	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i471@standard_mm.capacitor(chips)	C0402T_RW
C35	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i186@bin.prp_pump_driver(sch_1):page1_i170@standard_mm.capacitor(chips)	C0603T_RW
C36	NC.0108461.A	C_CX6C_....1UF..+-0.1uF_.25V	1uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i42@standard_mm.capacitor(chips)	C0603T_RW
C37	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i15@standard_mm.capacitor(chips)	C0402T_RW
C38	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i30@standard_mm.capacitor(chips)	C0402T_RW
C39	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i252@standard_mm.capacitor(chips)	C0603T_RW
C4	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page1_i15@standard_mm.capacitor(chips)	C0402T_RW
C40	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i61@standard_mm.capacitor(chips)	C0603T_RW
C41	NC.0110018.A	C_CC7C_.470PF..+-2.35pF_.50V	470pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i519@standard_mm.capacitor(chips)	C0402T_RW
C42	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i292@standard_mm.capacitor(chips)	C0603T_RW
C43	NC.0108461.A	C_CX6C_....1UF..+-0.1uF_.25V	1uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i260@standard_mm.capacitor(chips)	C0603T_RW
C44	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i69@standard_mm.capacitor(chips)	C0402T_RW
C45	NC.0105232.A	C_CX6C_.100NF..+-10nF_.50V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i490@standard_mm.capacitor(chips)	C0603T_RW
C46	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i227@standard_mm.capacitor(chips)	C0402T_RW
C47	NC.0096208.A	C_CX6C_.220NF..+-22nF_.25V	220nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i15@standard_mm.capacitor(chips)	C0603T_RW
C48	NC.0092768.A	C_CX3C_..10UF..+-1uF_.25V	10uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i303@standard_mm.capacitor(chips)	C1210T_RW
C49	NC.0096215.A	C_CX6C_.470NF..+-47nF_.25V	470nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i17@standard_mm.capacitor(chips)	C0603T_RW
C5	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page1_i24@standard_mm.capacitor(chips)	C0603T_RW
C50	NC.0023371.A	C_CX6C_.470PF..+-47pF_100V	470pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i2@standard_mm.capacitor(chips)	C0603T_RW
C51	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i203@standard_mm.capacitor(chips)	C0603T_RW
C52	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i195@standard_mm.capacitor(chips)	C0603T_RW
C53	NC.0023371.A	C_CX6C_.470PF..+-47pF_100V	470pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i6@standard_mm.capacitor(chips)	C0603T_RW
C54	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i186@bin.prp_pump_driver(sch_1):page1_i169@standard_mm.capacitor(chips)	C0603T_RW
C55	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i16@standard_mm.capacitor(chips)	C0603T_RW
C56	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i15@standard_mm.capacitor(chips)	C0603T_RW
C57	NC.0022918.A	C_CX2C_.100NF..+-10nF_100V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i17@standard_mm.capacitor(chips)	C1206T_RW
C58	NC.0110004.A	C_CX7C_..4,7NF.+-0.4_.50V	4.7nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i214@standard_mm.capacitor(chips)	C0402T_RW
C59	NC.0110018.A	C_CC7C_.470PF..+-2.35pF_.50V	470pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i543@standard_mm.capacitor(chips)	C0402T_RW
C6	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i19@standard_mm.capacitor(chips)	C0402T_RW
C60	NC.0110018.A	C_CC7C_.470PF..+-2.35pF_.50V	470pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i544@standard_mm.capacitor(chips)	C0402T_RW
C61	NC.0096215.A	C_CX6C_.470NF..+-47nF_.25V	470nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i19@standard_mm.capacitor(chips)	C0603T_RW
C62	NC.0096215.A	C_CX6C_.470NF..+-47nF_.25V	470nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i27@standard_mm.capacitor(chips)	C0603T_RW
C63	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i29@standard_mm.capacitor(chips)	C0402T_RW
C64	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i32@standard_mm.capacitor(chips)	C0402T_RW
C65	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i33@standard_mm.capacitor(chips)	C0402T_RW
C66	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i35@standard_mm.capacitor(chips)	C0402T_RW
C67	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i37@standard_mm.capacitor(chips)	C0402T_RW
C68	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i39@standard_mm.capacitor(chips)	C0402T_RW
C69	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i40@standard_mm.capacitor(chips)	C0402T_RW
C7	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i314@standard_mm.capacitor(chips)	C0402T_RW
C70	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i43@standard_mm.capacitor(chips)	C0402T_RW
C71	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i45@standard_mm.capacitor(chips)	C0402T_RW
C72	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i10@standard_mm.capacitor(chips)	C0402T_RW
C73	NC.0105232.A	C_CX6C_.100NF..+-10nF_.50V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i175@bin.communication(sch_1):page1_i154@standard_mm.capacitor(chips)	C0603T_RW
C74	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i27@standard_mm.capacitor(chips)	C0603T_RW
C75	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i212@bin.canister_spare1(sch_1):page1_i11@standard_mm.capacitor(chips)	C0603T_RW
C76	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i15@standard_mm.capacitor(chips)	C0402T_RW
C77	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i16@standard_mm.capacitor(chips)	C0402T_RW
C78	NC.0092680.A	C_CX1C_..10UF..+-1uF_6,3V	10uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i10@standard_mm.capacitor(chips)	C0805T_RW
C79	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i65@standard_mm.capacitor(chips)	C0402T_RW
C8	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i481@standard_mm.capacitor(chips)	C0603T_RW
C80	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i69@standard_mm.capacitor(chips)	C0402T_RW
C81	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i5@standard_mm.capacitor(chips)	C0402T_RW
C82	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i68@standard_mm.capacitor(chips)	C0402T_RW
C83	NC.0023142.A	C_CK2C_...1NF..+-0.1nF_500V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i498@standard_mm.capacitor(chips)	C1206T_RW
C84	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i279@standard_mm.capacitor(chips)	C0402T_RW
C85	NC.0094676.A	C_CX7C_..10NF..+-1nF_.50V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i77@standard_mm.capacitor(chips)	C0402T_RW
C86	NC.0084826.A	C_E3SC_..47UF..+-9.4uF_.35V	47uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i306@standard_mm.pcapacitor(chips)	C63X61T_RW
C87	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i329@standard_mm.capacitor(chips)	C0402T_RW
C88	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i214@bin.pressure_sensor(sch_1):page1_i23@standard_mm.capacitor(chips)	C0402T_RW
C89	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i214@bin.pressure_sensor(sch_1):page1_i32@standard_mm.capacitor(chips)	C0402T_RW
C9	NC.0108461.A	C_CX6C_....1UF..+-0.1uF_.25V	1uF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i487@standard_mm.capacitor(chips)	C0603T_RW
C90	NC.0094676.A	C_CX7C_..10NF..+-1nF_.50V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i318@standard_mm.capacitor(chips)	C0402T_RW
C91	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page3_i106@standard_mm.capacitor(chips)	C0603T_RW
C92	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i254@standard_mm.capacitor(chips)	C0402T_RW
C93	NC.0094703.A	C_CX7C_..47NF..+-4.7nF_.25V	47nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page2_i262@standard_mm.capacitor(chips)	C0402T_RW
C94	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i327@standard_mm.capacitor(chips)	C0603T_RW
C95	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page3_i63@standard_mm.capacitor(chips)	C0402T_RW
C96	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i78@standard_mm.capacitor(chips)	C0402T_RW
C97	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i329@standard_mm.capacitor(chips)	C0603T_RW
C98	NC.0096215.A	C_CX6C_.470NF..+-47nF_.25V	470nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page1_i95@standard_mm.capacitor(chips)	C0603T_RW
C99	NC.0023047.A	C_CX1C_.100NF..+-10nF_.50V	100nF	2	@bin.top(sch_1):page1_i1941@standard_mm.capacitor(chips)	C0805T_RW
D1	NL.0107985.A	ZZ_.24V_..200W_..PESD1CAN	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i175@bin.communication(sch_1):page1_i157@discrete.pesd1can(chips)	DSOTC23T_RW
D10	ND.0023527.A	D_S_1,1V._...1A_...SIGNAL	?	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page2_i261@discrete.s1g(chips)	DDO214T_RW
D11	ND.0023505.A	D_S_...1V_.0,2A_....BAS21	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i186@bin.prp_pump_driver(sch_1):page1_i191@discrete.bas21(chips)	DSODB23T_RW
D12	ND.0023585.A	D_S_...1V_0,25A_....BAV70	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i213@bin.input_signals(sch_1):page1_i222@discrete.bav70(chips)	DSOD23T_RW
D2	ND.0023586.A	D_S_...1V_0,21A_....BAV99	?	3	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page2_i515@discrete.bav99(chips)	DSOD23T_RW
